region,lat,long
SF bay area,37.65386213885297,-122.13998361362623
akron / canton,41.09520282152266,-81.5145170603679
albany,38.30800621088108,-77.98597294174274
albuquerque,35.12740140252448,-106.60098410472213
ames,41.981223398328716,-93.7476682451253
anchorage / mat-su,61.16563480826003,-149.73039982300782
ann arbor,42.298131871985994,-83.71721135466885
annapolis,39.053959608801854,-76.64145823960969
asheville,35.546695386158326,-82.54929734202513
ashtabula,41.44829487179487,-81.53743333333333
athens,34.502866693163654,-83.34429157392707
atlanta,33.83063185217773,-84.28354843818771
augusta,33.47891625693903,-82.06560745440186
bakersfield,35.33522390510939,-118.80447110705606
baltimore,39.30956184340944,-76.62684667988077
baton rouge,30.58972495948154,-91.22362576985444
battle creek,42.28055227629504,-85.20200722135046
bemidji,46.77869387755102,-94.63887142857142
bend,44.091227272727274,-121.2507272727273
billings,45.76495345794394,-108.56270280373839
binghamton,41.96205091549301,-76.15159225352114
birmingham,33.437896774193405,-86.761303584229
bismarck,46.83654062893088,-100.80149056603754
bloomington,39.0959270186336,-86.59147096273279
bloomington-normal,40.49639956521732,-88.96413608695651
boise,43.624628057065124,-116.28272282608758
boone,36.17983684210525,-81.65230526315791
boston,42.382852698412776,-71.10140406349205
boulder,40.01377398311618,-105.15482156561755
bowling green,36.977610137795054,-86.43035866141642
bozeman,45.70203765690377,-111.13289958159001
brainerd,46.38275000000001,-94.30794166666665
brunswick,31.148882914572802,-81.57921859296499
buffalo,42.882315032679685,-78.82121053013749
butte,45.96951929824562,-112.55535087719296
cape cod / islands,41.689939534883734,-70.41819147286819
catskills,41.883160784313716,-74.59045490196078
cedar rapids,41.994810491368135,-91.66601925630803
central NJ,40.48017958656329,-74.44892754521958
central louisiana,31.230283168316824,-92.93409702970298
central michigan,43.44075086206895,-84.65008362068968
champaign urbana,40.19651104651194,-88.19977320736264
charlotte,35.212047104722615,-80.85689597535878
chautauqua,42.22911666666668,-79.26539523809522
chicago,41.92434973262034,-87.77443602941196
chico,39.72890456273766,-121.80093916349796
chillicothe,39.503269090909086,-82.89950363636366
cincinnati,39.193158293838714,-84.47789118483432
cleveland,41.4499246111616,-81.62647744739286
clovis / portales,34.63193414634148,-104.65460975609759
colorado springs,38.875167394757874,-104.77492811755238
columbia / jeff city,38.944247048904025,-92.33181703204063
columbus,34.198182292682795,-84.48735868292715
corvallis/albany,44.52753333333333,-122.90066666666667
cumberland valley,37.67440647482004,-76.66818381294944
dayton / springfield,39.74895,-84.14595
daytona beach,29.148759405110855,-81.10416719731866
decatur,39.23659060402675,-88.45824664429564
delaware,39.67215156402746,-75.58274393939409
denver,39.715331061192664,-104.95780770720377
des moines,41.56484353200849,-93.64289350993366
detroit metro,42.401944472111694,-83.3870759462158
dothan,31.18974873949578,-85.63020084033614
dubuque,42.53298536585364,-90.66440243902441
duluth / superior,46.785598571428594,-92.25367714285697
east idaho,43.44858005698,-112.00843589743576
east oregon,45.8272,-119.721
eastern CO,39.805823076923076,-104.53078846153842
eastern CT,41.48032370370359,-72.14545866666653
eastern NC,35.507626949152424,-77.51080559321977
eastern kentucky,37.57319107142856,-83.86411964285709
eastern montana,47.87522258064513,-104.74475268817214
eastern shore,38.553908152173925,-76.07827771739126
elko,40.89495172413795,-114.31809195402302
elmira-corning,42.098102614379115,-77.16150653594755
eugene,44.05104285714286,-123.07271428571428
evansville,37.98378352402692,-87.53993356216553
fairbanks,64.83279233449488,-147.66782229965142
fargo / moorhead,46.75667944535075,-96.8474531810765
farmington,36.58230666666666,-108.26091111111111
fayetteville,35.38595261276171,-70.83979389438971
finger lakes,42.82492209302322,-77.25925058139542
flagstaff / sedona,35.21741080213886,-111.6271155080208
flint,42.93408034934509,-83.65823187772904
florence / muscle shoals,34.76780153846153,-87.5836630769231
florida keys,24.817343777777754,-81.38970088888888
fort collins / north CO,40.492747310990474,-105.04474279033438
fort dodge,42.50214684684685,-94.03085855855853
fort smith,35.42551632653061,-94.2095857142857
fort wayne,41.03554879288428,-85.29807001270702
frederick,39.418348672566424,-77.4961975314404
fresno / madera,36.806039686924436,-119.74515280847184
ft myers / SW florida,26.51224367209967,-81.81714688398877
gadsden-anniston,33.946438805970146,-85.31604925373135
gainesville,29.668031039755345,-82.39083613659625
glens falls,43.12050654205611,-73.76306822429898
gold country,38.71869296875005,-120.77927929687489
grand forks,47.79210695187188,-97.05397754010671
grand island,40.8599972972973,-98.27243783783783
grand rapids,42.947276271911484,-85.64505810175254
great falls,47.15731999999999,-113.03291428571428
greensboro,36.05755934837068,-79.83511508771947
gulfport / biloxi,30.421610113107217,-88.99218775781769
hanford-corcoran,36.32333337423311,-119.69321472392635
hartford,41.704232214765135,-72.73597127516769
hattiesburg,31.37346085626915,-89.37568899082572
hawaii,21.177010234972645,-157.6036245901633
heartland florida,27.80126747967476,-80.916499186992
helena,46.568356000000016,-112.04230000000001
hickory / lenoir,35.68875070422534,-81.25694788732399
high rockies,39.54639224806199,-106.51574922480629
holland,42.863188539325954,-86.1202757303368
houma,29.640691855203702,-90.76408914027142
hudson valley,41.52743055162664,-74.07884809052337
humboldt county,40.8797234482759,-124.06195862068961
huntington-ashland,38.24433968253968,-82.39225952380951
huntsville / decatur,34.700375972222474,-86.64257143518473
imperial county,33.086085714285666,-115.59370329670348
indianapolis,39.78539176082853,-86.10263752354045
inland empire,33.993383431028036,-117.3577409144199
iowa city,41.6835768421052,-91.58362473684245
ithaca,42.460351875000235,-76.47562281249968
jackson,33.04941746724938,-89.78105494243677
jacksonville,32.027174917492204,-79.97849016972958
jersey shore,39.99223290529703,-74.59031235955047
jonesboro,35.820560377358426,-90.71376792452826
joplin,37.15276805555551,-94.47988402777789
kalamazoo,42.261514969325184,-85.5827020858899
kalispell,48.148126984127,-114.14548650793657
kansas city,39.03776666666667,-94.6173
"kansas city, MO",39.07092934232759,-94.59614114671172
kenai peninsula,60.384945238095206,-151.15209523809517
kirksville,40.189431818181816,-92.72468181818179
kokomo,40.430431168831156,-86.10155454545455
la salle co,41.03008000000001,-93.46053714285718
lafayette,30.18018340894364,-92.00706007777134
lafayette / west lafayette,40.35935171232882,-87.1766376712329
lake charles,30.174970460704447,-93.21303821138173
lake of the ozarks,38.06409295774648,-92.65033239436622
lakeland,28.03336199575391,-81.93982012738986
lansing,42.70554835164808,-84.4722562728933
las cruces,32.510438437500014,-106.45019062500016
las vegas,36.13115914661814,-115.15423708579203
lawrence,38.93285065913377,-95.16543295668518
